SJEU8777103: 28.233.918/3530-92<->65.419.099/1075-13
VOZU6759661: 1731kg (13%)
XUMU3125504: 3681kg (13%)
MHGZ2146935: 3649kg (13%)
FJDJ3764798: 2923kg (13%)
BRGJ6849934: 2013kg (13%)
FJLZ1004563: 3007kg (13%)
DEFZ5385206: 2505kg (13%)
EGXJ6815376: 3256kg (13%)
GSSU1919747: 2895kg (13%)
TMSJ0876662: 2855kg (13%)
WUAZ1846706: 3358kg (13%)
MNSZ5177754: 2083kg (13%)
NEEU7655053: 2513kg (13%)
AEPZ8919706: 2781kg (13%)
PNGJ2330305: 2613kg (13%)
CJIJ8332011: 3386kg (13%)
RGTZ1427585: 3732kg (13%)
KHPU5723404: 1878kg (13%)
FHGZ0679384: 3297kg (13%)
OQUU2408149: 3030kg (13%)
OMJJ4251802: 3880kg (13%)
NRKU1467481: 3537kg (13%)
HRVJ5036299: 3320kg (13%)
RUFU8588379: 2355kg (13%)
UMQU4854317: 2810kg (13%)
NTQZ0761399: 3291kg (13%)
MBUU7006615: 3274kg (13%)
EDLZ0720746: 3818kg (13%)
LNMJ8205292: 3599kg (13%)
DHWJ0123142: 3639kg (13%)
ZBLU9726772: 2862kg (13%)
UOXU0663925: 3335kg (13%)
QHYZ5474027: 2506kg (13%)
QANU4938604: 3797kg (13%)
VMCJ1171685: 1344kg (13%)
YCSJ4609078: 2634kg (13%)
QOGZ5983330: 2273kg (13%)
XMPZ2560196: 2587kg (13%)
EEPJ8484226: 2268kg (13%)
AQMU4023223: 3004kg (13%)
WMLU8472966: 2698kg (13%)
CMQU7241043: 1564kg (13%)
KSLU0059138: 1714kg (13%)
KEEJ0383124: 3128kg (13%)
ZAMZ8044820: 3016kg (13%)
MIQJ0542086: 2775kg (13%)
EIBJ2450380: 1907kg (13%)
ROUZ1664588: 3287kg (13%)
BXLU0561510: 3456kg (13%)
GRVU1464620: 2848kg (13%)
DQMJ5428442: 2366kg (13%)
DIWU1437960: 2071kg (13%)
SNMJ3611380: 3067kg (13%)
ABSZ0667294: 2150kg (13%)
KHDJ4433466: 2682kg (13%)
DSEJ0278687: 3071kg (13%)
IQVU9111844: 3076kg (13%)
LWAU5164639: 2766kg (13%)
JLSZ0584408: 3031kg (13%)
YIZU6400844: 2410kg (13%)
QTSU8830826: 3376kg (13%)
XTLZ4890961: 2782kg (13%)
MFIU8802837: 2677kg (13%)
LBSZ4815914: 2463kg (13%)
UQBU8986304: 2893kg (13%)
PNDZ4432883: 3211kg (13%)
DNHU3200249: 1568kg (13%)
BNJZ0022741: 3399kg (13%)
NMEJ2496026: 3521kg (13%)
FYLU2739349: 3448kg (13%)
GYHZ2949505: 2657kg (13%)
NGIZ5437043: 3502kg (13%)
LMEU6950719: 1873kg (13%)
JQOZ3647661: 2952kg (13%)
QERJ2351838: 3648kg (13%)
YVZZ5720065: 3055kg (13%)
DLMZ7657061: 2485kg (13%)
EUZJ1294103: 1963kg (13%)
RJGZ4615942: 3733kg (13%)
RQDZ6939995: 2131kg (13%)
PISZ0266535: 3013kg (13%)
PPMZ9724571: 2788kg (13%)
BNPJ2407918: 1816kg (13%)
VLLJ5145540: 2879kg (13%)
UXWZ8142104: 3661kg (13%)
UDIU9554902: 2426kg (13%)
WNTU2670391: 3488kg (13%)
HNHU5183349: 1572kg (13%)
MWCJ5255664: 3710kg (13%)
WIDU0627346: 3871kg (13%)
IGJZ2209629: 3864kg (13%)
CSOJ9103614: 2251kg (13%)
TKVU4551160: 2706kg (13%)
RYEJ8973422: 3600kg (13%)
CDGJ1908926: 3336kg (13%)
GHFU3390195: 2790kg (13%)
STJU7225849: 3959kg (13%)
TGYJ0871847: 1296kg (13%)
REPJ6968469: 2294kg (13%)
IQGU9158155: 1990kg (13%)
FCBU5181473: 3069kg (13%)
VVRU9622091: 2884kg (13%)
XXQZ2594160: 2761kg (13%)
EIJJ7831687: 3056kg (12%)
QVMU9416426: 1780kg (12%)
JZUU4245311: 2180kg (12%)
WGOZ8203609: 1794kg (12%)
FKEZ3527265: 2155kg (12%)
NORU2105558: 2172kg (12%)
DTMZ4467749: 2593kg (12%)
QUIU6247354: 3271kg (12%)
JPPJ4023202: 2079kg (12%)
SBNJ1534742: 3339kg (12%)
RMJJ4887382: 1962kg (12%)
INGU9455788: 3236kg (12%)
LYJJ6126331: 1843kg (12%)
HABJ5148550: 2474kg (12%)
HUAJ6282127: 2599kg (12%)
JYWJ1580229: 2147kg (12%)
GKLJ2609442: 1374kg (12%)
THVJ8699238: 2211kg (12%)
RPPZ4523185: 2037kg (12%)
CKJU4297063: 2757kg (12%)
VHAU8124877: 2249kg (12%)
QKGJ9365264: 2788kg (12%)
AWDJ9590020: 2737kg (12%)
PCBJ9989698: 1918kg (12%)
ZJUU1275496: 2394kg (12%)
WCXZ3854030: 2273kg (12%)
FVRU4108062: 2835kg (12%)
KGBZ6078135: 2917kg (12%)
TZQU7754510: 1754kg (12%)
EEHZ3162994: 1722kg (12%)
OKDU2448261: 2461kg (12%)
JKRZ7735699: 2963kg (12%)
CEOZ5396175: 2726kg (12%)
QNXJ2427032: 3511kg (12%)
SRLZ3933924: 1993kg (12%)
INRZ3269651: 2127kg (12%)
WUHZ2855932: 3221kg (12%)
BTBU9500568: 3174kg (12%)
GLEJ9565068: 2535kg (12%)
BBMJ4113423: 1272kg (12%)
HAQJ1364784: 1624kg (12%)
TPRZ9394589: 2962kg (12%)
DRDJ5787831: 2690kg (12%)
TFGZ1152839: 1771kg (12%)
OZBU9150926: 2429kg (12%)
ZSJJ5045025: 2318kg (12%)
UULU3271590: 1676kg (12%)
CXEZ9008078: 1500kg (12%)
BFIJ5038571: 1977kg (12%)
RRQU7237014: 2884kg (12%)
THVU7643559: 1711kg (12%)
OPPU9195739: 3417kg (12%)
FYBU1361031: 3238kg (12%)
ELRU9674479: 2975kg (12%)
HIRU3871134: 2095kg (12%)
FSDU6184164: 1383kg (12%)
EFYU6501925: 2767kg (12%)
OBCZ8413355: 3207kg (12%)
ENOZ2377339: 3348kg (12%)
ETFU9301338: 2067kg (12%)
BMWJ7182553: 2745kg (12%)
JGMU2903037: 2337kg (12%)
MOZJ6443384: 3008kg (12%)
GDFU5103239: 1800kg (12%)
FKNJ7224508: 3445kg (12%)
QHLZ7657363: 2898kg (12%)
JDDJ1717688: 3374kg (12%)
UBMU3800984: 1557kg (12%)
VIBJ0395251: 2792kg (12%)
MXSJ6274003: 2839kg (12%)
IINZ7445351: 2999kg (12%)
NNVZ1882819: 1720kg (12%)
EILZ9579328: 1799kg (12%)
GOEZ9744213: 1882kg (12%)
LVQZ0198084: 3173kg (12%)
JCVZ7619994: 2256kg (12%)
QSGJ5344298: 3039kg (12%)
IBUJ4953526: 1391kg (12%)
VICJ8345700: 2208kg (12%)
SNNJ2538648: 2881kg (12%)
KDGJ4819601: 2340kg (12%)
FFHJ5068431: 1370kg (12%)
WIUJ7327901: 2397kg (12%)
OQZU2915979: 3574kg (12%)
GYFU7143163: 3458kg (12%)
GXGU7328679: 3076kg (12%)
UDNU4395908: 2335kg (12%)
GTPZ7820698: 2840kg (12%)
GMHU5478065: 3149kg (12%)
AFCJ7233941: 2003kg (12%)
TACU1211462: 2126kg (12%)
GZOU9296950: 1406kg (12%)
IELZ3495305: 2841kg (12%)
OMGZ4626812: 3603kg (12%)
GYLU3264181: 2489kg (12%)
WODZ9918071: 2359kg (12%)
PAXJ6466935: 2798kg (12%)
NHZJ2793088: 1869kg (12%)
DHBJ1090833: 1537kg (12%)
DUQJ1049789: 1351kg (12%)
FIGZ7262231: 3048kg (12%)
XCBZ5734257: 1529kg (12%)
YXLZ3608478: 2418kg (12%)
NTHU8264136: 1846kg (12%)
KCGJ3207916: 3533kg (12%)
XMVU6537825: 1789kg (12%)
RXSZ8655248: 2219kg (12%)
LKFJ1672425: 3588kg (12%)
GXLZ9222274: 2042kg (12%)
SZQU5156910: 2031kg (12%)
MMBJ8194742: 3270kg (12%)
DPFU0998359: 3366kg (12%)
YQOZ3184674: 1181kg (12%)
MILZ7530444: 1624kg (12%)
OBEU0810686: 3280kg (12%)
MLAZ0179334: 1783kg (12%)
CZQZ6321835: 2923kg (12%)
SXBZ0397199: 1797kg (12%)
ZIAJ1178998: 2242kg (12%)
LNFZ4549356: 2129kg (12%)
NDNU1681641: 3058kg (12%)
SPUZ1595724: 2038kg (12%)
YTRU9620729: 3187kg (12%)
TGBZ0446071: 2782kg (12%)
ARZZ6672381: 2274kg (12%)
NPRU6407118: 1560kg (12%)
KHWZ5031629: 2573kg (12%)
JJHJ6960229: 2970kg (12%)
MOOZ8452769: 2795kg (12%)
NWYJ5257574: 3416kg (12%)
PGOJ1301833: 3202kg (12%)
BORJ4015024: 3560kg (12%)
ZRDZ6202639: 2947kg (12%)
ERXU9128563: 1194kg (12%)
YXLJ5090871: 2592kg (12%)
LTPU4558527: 3298kg (12%)
SZBZ9042590: 1704kg (12%)
MXNJ2134048: 3320kg (12%)
EYNU3170435: 2469kg (12%)
CBYZ9200262: 2403kg (12%)
OTZU2127370: 3221kg (12%)
FBIU5134404: 2640kg (12%)
QXRJ9247573: 3252kg (12%)
JKUU5310396: 2277kg (12%)
FEPJ3012945: 2953kg (12%)
YQGU2894342: 3272kg (12%)
JHEZ0616450: 2440kg (12%)
SBWJ1454227: 1568kg (12%)
IXCU9408971: 1528kg (12%)
ADQU3813150: 1482kg (12%)
TFEZ2060439: 1560kg (12%)
VLNJ1703875: 2052kg (11%)
YIVU8563559: 2526kg (11%)
FIIJ5068487: 1701kg (11%)
VCZZ8055244: 2354kg (11%)
JBOU9878345: 2833kg (11%)
RPRJ4649537: 1190kg (11%)
PUAZ1946744: 2401kg (11%)
HENZ3850677: 2658kg (11%)
EHJU9992386: 2678kg (11%)
XRZU1497338: 1147kg (11%)
UHEJ7853376: 3339kg (11%)
WKCZ8684609: 1498kg (11%)
XFSJ7236436: 1616kg (11%)
OBWJ6787446: 1993kg (11%)
RXGZ9118926: 3278kg (11%)
JOMU2436112: 2067kg (11%)
XDSU7155036: 3065kg (11%)
OPOU2157101: 1886kg (11%)
NTOZ5007379: 1660kg (11%)
OYAJ6765595: 1585kg (11%)
ULCJ8006472: 1956kg (11%)
KQTJ3059513: 2978kg (11%)
ZTNU3852809: 2431kg (11%)
AQLJ9894510: 2155kg (11%)
TKDJ8265598: 2003kg (11%)
TTHJ6536615: 2181kg (11%)
URJJ1203089: 2987kg (11%)
ARZZ6017407: 2925kg (11%)
DSXU7221362: 2411kg (11%)
PPLU9932543: 2493kg (11%)
YZWZ3035853: 1317kg (11%)
CGXZ2826741: 2602kg (11%)
FKRZ9981729: 2917kg (11%)
YJXJ5946868: 3257kg (11%)
CKDJ7252849: 2022kg (11%)
VATJ8218836: 1626kg (11%)
MUXZ8991419: 2994kg (11%)
KZUZ8284284: 2217kg (11%)
SYUZ2698580: 2814kg (11%)
CNHJ9820824: 1951kg (11%)
DJJZ0185996: 2271kg (11%)
QSYU2245850: 2594kg (11%)
MXVJ5401505: 2765kg (11%)
IEOZ4074052: 1610kg (11%)
NLDJ1079331: 2743kg (11%)
SIKU1653214: 1599kg (11%)
AZXZ7263995: 1711kg (11%)
LWEU4781385: 2250kg (11%)
LCOU2554855: 2078kg (11%)
KEQU7019980: 2846kg (11%)
ALSJ9395853: 1741kg (11%)
PYOJ9708906: 1327kg (11%)
AOMU0106903: 2431kg (11%)
BTAJ6884081: 1282kg (11%)
DFGU9244900: 2005kg (11%)
ESAU8642665: 1423kg (11%)
XYFZ2963344: 1432kg (11%)
SDYZ5010754: 2553kg (11%)
EXXJ0703694: 2758kg (11%)
GUSU3316657: 2333kg (11%)
TQKJ8554993: 1694kg (11%)
NKWZ7813361: 2019kg (11%)
OAXZ3089504: 2856kg (11%)
GOMZ3313061: 2588kg (11%)
VMNJ5069494: 3077kg (11%)
STEJ3524007: 2642kg (11%)
DDAZ8691764: 3073kg (11%)
EQYU2466702: 2980kg (11%)
ENDU2908283: 2582kg (11%)
LAIZ4956649: 2809kg (11%)
ADQJ3972195: 1916kg (11%)
IDNU3715893: 1247kg (11%)
EJHZ9238620: 2763kg (11%)
RVJU0427231: 2230kg (11%)
BXRU4162862: 2963kg (11%)
HETJ0240620: 2762kg (11%)
MZKZ1315835: 2810kg (11%)
GRTU5959713: 2838kg (11%)
WLYJ8014415: 2295kg (11%)
EENU4861511: 1782kg (11%)
TOBZ5762461: 2598kg (11%)
PVOJ9863039: 2617kg (11%)
IKIU3026700: 2738kg (11%)
SXPU0176754: 2976kg (11%)
QLGJ8133038: 2333kg (11%)
UIOJ2870103: 2850kg (11%)
EVHZ6305242: 2071kg (11%)
SQLU5729542: 1982kg (11%)
XPBJ5026829: 2386kg (11%)
LIYJ8555255: 2955kg (11%)
QSRZ8165555: 1763kg (11%)
FLGZ5466522: 1213kg (11%)
MOUJ7148147: 2695kg (11%)
VRMU3414911: 1370kg (11%)
HFXU2243509: 3043kg (11%)
VQBZ1471272: 2703kg (11%)
MFTJ0379405: 3013kg (11%)
PHMU9032088: 2470kg (11%)
NHFJ2820001: 1828kg (11%)
XHWJ7331516: 2575kg (11%)
YQJJ5841022: 2769kg (11%)
QSMZ2799694: 1122kg (11%)
UHZU6309549: 1472kg (11%)
HHRU0722248: 2433kg (11%)
UFYU3454934: 2377kg (11%)
FJCZ6664008: 2988kg (11%)
OEQZ8786604: 1531kg (11%)
LLPU0508969: 3157kg (11%)
ZDAJ6465629: 1556kg (11%)
VILJ9816278: 1930kg (11%)
TJAZ3999646: 1692kg (11%)
RUKZ8071240: 3046kg (11%)
VYWU7682191: 1251kg (11%)
XMIU9416003: 1886kg (11%)
SEFZ9788681: 2838kg (11%)
SOEJ0426191: 1782kg (11%)
SJYJ2215557: 2523kg (11%)
BJFJ4016776: 2783kg (11%)
KCXU7236408: 1811kg (11%)
WLYU0636702: 2008kg (11%)
HXOZ4489657: 1980kg (11%)
EIFU7007060: 2038kg (11%)
TQHZ3127541: 2052kg (11%)
GASJ5367402: 2222kg (11%)
PZMU3777244: 2804kg (11%)
VKKZ1997107: 2584kg (11%)
PODJ5422958: 1728kg (11%)
PTHU3900026: 2117kg (11%)
KKIZ3001020: 2751kg (11%)
JPGU1091300: 1472kg (11%)
DUSZ2926175: 2822kg (11%)
QOJU9843894: 1850kg (11%)
EHLU4381976: 2356kg (11%)
INKZ3220585: 3250kg (11%)
CHEU4762632: 3048kg (11%)
AXEZ8559936: 1799kg (11%)
DNJJ8592322: 2224kg (11%)
MILU0026858: 1819kg (11%)
NEEJ6296295: 2397kg (11%)
JGNZ7753456: 2097kg (11%)
TOVZ0611973: 2451kg (11%)
WJAU3837423: 1638kg (11%)
DXAJ6313879: 1237kg (11%)
HRHU7347390: 3067kg (11%)
AVBZ2910615: 1331kg (11%)
VUEZ3775535: 1683kg (11%)
VHCJ0626052: 3079kg (11%)
MCKJ8170665: 2983kg (11%)
VXCZ6844749: 2059kg (11%)
EQPZ6003174: 2575kg (11%)
LOLZ1963660: 2376kg (11%)
FJAZ4827857: 2209kg (11%)
VTRZ8603381: 1356kg (11%)
JXZZ9199923: 2404kg (11%)
HJBJ7997535: 1892kg (11%)
RSXU7467638: 3030kg (11%)
